Character 1,Character Label 1,Dependency Relation 1,Verb,Dependency Relation 2,Character Label 2,Character 2
women,Hero,subject,play,advcl,Hero,Security Council  resolution 1325 (2000)
Iceland,Hero,subject,has supported,object,Victim,women
The Icelandic Government,Hero,subject,has been financing,object,Hero,a gender expert at the  United Nations Development Fund for Women  (UNIFEM) office in Kosovo
We,Hero,subject,support,object,Hero,Special Representative Patten
we,Hero,subject,are turning,oblique,Hero,partners
The Alliance,Hero,subject,has,object,Hero,gender advisers
I,Hero,subject,work,oblique,Hero,these dedicated people
NATO,Hero,subject,works,oblique,Hero,other  international organizations maintaining international  peace and security
we,Hero,subject,face up,advcl,Hero,we
we,Hero,subject,work,oblique,Hero,partners  and other members of the international community
Germany,Hero,subject,supports,object,Hero,the Ministry of  Women's and Veteran's Affairs
I,Hero,subject,echo,object,Hero,the presidency  of the European Union
Women,Hero,subject,serve,oblique,Hero,their male  counterparts
we,Villain,subject,excluding,object,Victim,women
women,Hero,subject,have begun,advcl,Victim,they
the Deputy Secretary-General,Hero,subject,said,advcl,Villain,Daesh
The Taliban and other  anti-Government elements,Villain,subject,launch,oblique,Victim,"women  from all spectrums of society, from schoolgirls to  female leaders, including women police officers, human  rights defenders, media personnel and politicians"
We,Hero,subject,appreciate,object,Hero,the Government of Finland's
Austria,Hero,subject,believes,ccomp,Victim,women
Austria,Hero,subject,believes,ccomp,Hero,women
the Organization for Security and  Cooperation in Europe,Hero,subject,has achieved,object,Hero,women
the  Office of the Special Adviser on Gender Issues and  Advancement of Women,Hero,subject,is appreciated,oblique,Hero,Ms.  Angela King
the  Office of the Special Adviser on Gender Issues and  Advancement of Women,Hero,subject,encourage,oblique,Hero,Ms.  Angela King
me,Hero,subject,acknowledge,object,Hero,an interim Gender  Adviser in the Department of Peacekeeping  Operations
the  liberation movements,Hero,subject,have paved,oblique,Hero,women
many of these countries,Victim,subject,have paved,oblique,Hero,women
"My country, Tanzania,",Hero,subject,is working,oblique,Hero,the  Office of the United Nations High Commissioner for  Refugees
the  gender desk at Rwanda Defence Headquarters,Hero,subject,devises,oblique,Hero,UNIFEM
Belgium,Hero,subject,calls,oblique,Hero,women
We,Hero,subject,provided,oblique,Hero,military judges
Belgium,Hero,subject,attributes,object,Victim,that country
Syrian armed  forces and security personnel,Villain,subject,have used,oblique,Victim,detainees in various detention centers of the  intelligence and political security services
women,Hero,subject,must be involved,conj,Victim,they
women,Hero,subject,must be involved,conj,Hero,they
women,Victim,subject,must be involved,conj,Victim,they
women,Victim,subject,must be involved,conj,Hero,they
The Human Security Network,Hero,subject,emphasizes,object,Hero,women
We,Hero,subject,encourage,object,Hero,women protection advisers
we,Hero,subject,underscore,object,Hero,the  Office of the Special Representative
the Secretary-General,Hero,subject,details,object,Hero,the United Nations system
