Character 1,Character Label 1,Dependency Relation 1,Verb,Dependency Relation 2,Character Label 2,Character 2
women,Hero,subject,play,advcl,Hero,Security Council  resolution 1325 (2000)
Iceland,Hero,subject,has supported,object,Victim,women
The Icelandic Government,Hero,subject,has been financing,object,Hero,a gender expert at the  United Nations Development Fund for Women  (UNIFEM) office in Kosovo
Germany,Hero,subject,supports,object,Hero,the Ministry of  Women's and Veteran's Affairs
Women,Hero,subject,serve,oblique,Hero,their male  counterparts
we,Villain,subject,excluding,object,Victim,women
women,Hero,subject,have begun,advcl,Victim,they
The Taliban and other  anti-Government elements,Villain,subject,launch,oblique,Victim,"women  from all spectrums of society, from schoolgirls to  female leaders, including women police officers, human  rights defenders, media personnel and politicians"
Austria,Hero,subject,believes,ccomp,Victim,women
Austria,Hero,subject,believes,ccomp,Hero,women
the Organization for Security and  Cooperation in Europe,Hero,subject,has achieved,object,Hero,women
the  Office of the Special Adviser on Gender Issues and  Advancement of Women,Hero,subject,is appreciated,oblique,Hero,Ms.  Angela King
the  Office of the Special Adviser on Gender Issues and  Advancement of Women,Hero,subject,encourage,oblique,Hero,Ms.  Angela King
the  liberation movements,Hero,subject,have paved,oblique,Hero,women
many of these countries,Victim,subject,have paved,oblique,Hero,women
Belgium,Hero,subject,calls,oblique,Hero,women
women,Hero,subject,must be involved,conj,Victim,they
women,Hero,subject,must be involved,conj,Hero,they
women,Victim,subject,must be involved,conj,Victim,they
women,Victim,subject,must be involved,conj,Hero,they
The Human Security Network,Hero,subject,emphasizes,object,Hero,women
We,Hero,subject,encourage,object,Hero,women protection advisers
The Fiji  peacekeeping deployment to Iraq,Hero,subject,will include,object,Hero,six  women
The Government,Hero,subject,is addressing,oblique,Hero,its Ministry for Women
The Government,Hero,subject,is addressing,oblique,Hero,the UNIFEM-  sponsored Women and Peace and Security Committee
the  Government,Hero,subject,has supported,object,Hero,women police
UN Women,Hero,subject,will grow,oblique,Victim,women
UN Women,Hero,subject,will grow,oblique,Hero,women
women,Hero,subject,are recognized,advcl,Victim,they
girls and  women in affected regions,Victim,subject,associate,advcl,Hero,women participating in peacekeeping and police forces
girls and  women in affected regions,Victim,subject,associate,advcl,Victim,victims
women participating in peacekeeping and police forces,Hero,subject,will enhance,object,Victim,victims
I,Hero,subject,pay,oblique,Victim,internally displaced women and girls
I,Hero,subject,dedicated,oblique,Victim,internally displaced women
Senegal,Hero,subject,ensure,object,Hero,women
we,Hero,subject,implement,object,Victim,the  women of Afghanistan
UN-Women,Hero,subject,has administered,oblique,Victim,women
Afghanistan,Hero,subject,has submitted,oblique,Hero,UN-Women
We,Hero,subject,are focusing,oblique,Hero,women political actors
We,Hero,subject,understand,object,Victim,women
my Special Envoy,Hero,subject,established,object,Hero,a  Yemeni women's technical advisory group
we,Hero,subject,are moving,oblique,Hero,women in the military and the police components of  our operations
